,State Abbv,State,variable,value
0,AK,Alaska,F00020,-0.0
1,AL,Alabama,F00020,0.0
2,AR,Arkansas,F00020,0.09361688054726475
3,AZ,Arizona,F00020,-0.0
4,CA,California,F00020,-0.0
5,CO,Colorado,F00020,-0.0
6,CT,Connecticut,F00020,0.0
7,DC,Washington D.C.,F00020,0.0
8,DE,Delaware,F00020,0.0
9,FL,Florida,F00020,-0.28027056347154944
10,GA,Georgia,F00020,0.0
11,HI,Hawaii,F00020,0.007018661372812254
12,IA,Iowa,F00020,-0.14561624066277665
13,ID,Idaho,F00020,0.0
14,IL,Illinois,F00020,-0.0
15,IN,Indiana,F00020,0.0
16,KS,Kansas,F00020,-0.0
17,KY,Kentucky,F00020,0.0
18,LA,Louisiana,F00020,-0.0
19,MA,Massachusetts,F00020,0.0
20,MD,Maryland,F00020,-0.20333921449364742
21,ME,Maine,F00020,0.0
22,MI,Michigan,F00020,-0.0
23,MN,Minnesota,F00020,-0.3302576554903304
24,MO,Missouri,F00020,-0.05088765365972446
25,MS,Mississippi,F00020,0.0
26,MT,Montana,F00020,0.0
27,NC,North Carolina,F00020,-0.0
28,ND,North Dakota,F00020,-0.0
29,NE,Nebraska,F00020,-0.0
30,NH,New Hampshire,F00020,-0.0
31,NJ,New Jersey,F00020,0.030414137280687197
32,NM,New Mexico,F00020,0.0
33,NV,Nevada,F00020,-0.0
34,NY,New York,F00020,-0.038512119954970093
35,OH,Ohio,F00020,-0.0
36,OK,Oklahoma,F00020,-0.11286549219901625
37,OR,Oregon,F00020,-0.0
38,PA,Pennsylvania,F00020,-0.0333534244561699
39,RI,Rhode Island,F00020,0.0
40,SC,South Carolina,F00020,0.003554359866809375
41,SD,South Dakota,F00020,-0.0
42,TN,Tennessee,F00020,-0.0
43,TX,Texas,F00020,-0.0
44,UT,Utah,F00020,0.0
45,VA,Virginia,F00020,-0.0
46,VT,Vermont,F00020,-0.0
47,WA,Washington,F00020,-0.0
48,WI,Wisconsin,F00020,-0.0
49,WV,West Virginia,F00020,-0.0
50,WY,Wyoming,F00020,-0.0
51,AK,Alaska,F09787,0.0
52,AL,Alabama,F09787,-0.0
53,AR,Arkansas,F09787,0.011074482547343698
54,AZ,Arizona,F09787,0.0
55,CA,California,F09787,-0.0
56,CO,Colorado,F09787,-0.0
57,CT,Connecticut,F09787,0.0
58,DC,Washington D.C.,F09787,0.0
59,DE,Delaware,F09787,0.0
60,FL,Florida,F09787,0.0
61,GA,Georgia,F09787,0.0
62,HI,Hawaii,F09787,-0.0
63,IA,Iowa,F09787,0.0
64,ID,Idaho,F09787,0.0008485527290176409
65,IL,Illinois,F09787,0.0
66,IN,Indiana,F09787,-0.0
67,KS,Kansas,F09787,0.0
