,State Abbv,F00020,F09787,F14642,F13214,F13220,F11984,F11396,F13191,F06795,F04820,F04821,F04904,F04905,F04906,F04907,F12016,F12017,F04916,F04917,F04918,F04919,F12034,F12035,F10498,F11318,F11319,F13176,F10505,F08921,F08922,F08923,F08924,F14045,F09545,F09566,F09567,F09568,F09571,F15297,F13906,F13907,F13908,F13909,F13910,F13911,F13914,F13915,F13920,F13921,F15549,F12558,F09781,F13226,F13321,F15474,F14482,F14587,F14206,F06712,F06713,F06714,F06715,F06716,F06717,F06718,F06719,F06720,F06721,F06722,F06723,F06724,F06725,F06726,F06727,F11640,F11641,F11642,F11643,F13483,N_BLACK,N_ASIAN,N_HISP,F13874,F09721,HPSA_WHOLE,HPSA_PART,RURAL,METRO,NONMETRO,OP_VISITS,CANCER_DEATHS,SHIP_COUNT,DOSAGE_UNIT,OP_PC,IP_PC,PCT_MEN,PCT_WHITE,PCT_BLACK,PCT_ASIAN,PCT_OTHER,PCT_HISP,PCT_MEDICARE,ARF_CDR,POP_DENSITY,PCT_DUALS,PCT_25T34,PCT_35T44,PCT_45T54,PCT_55T64,PCT_65T74,PCT_75T84,PCT_85PLUS,PCT_VETS,NP_PC,MD_LT35_PC,MD_35T44_PC,MD_45T54_PC,MD_55T64_PC,MD_65T74_PC,MD_75PLUS_PC,SPEC_LT35_PC,SPEC_35T44_PC,SPEC_45T54_PC,SPEC_55T64_PC,SPEC_65T74_PC,SPEC_75PLUS_PC,DENTISTS_LT35_PC,DENTISTS_35T44_PC,DENTISTS_45T54_PC,DENTISTS_55T64_PC,DENTISTS_65PLUS_PC,MD_PC,SPEC_PC,PCT_25T44,PCT_45T64,PCT_65PLUS,EXP_EARLY,CANCER_CDR,NP_RX,PDMP_REQ_CHECK,State
0,AK,-0.0,0.0,-0.0,0.0,0.02254417124331317,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.16409104911838077,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.043647111152306795,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.05379183397470741,-0.0,-0.0,-0.0,0.00034645266739633337,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18653744185677473,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.11691441825855678,0.07357678994336443,0.0,-0.0,0.0,0.0,0.2509778917952757,-0.053551434120077894,0.0,0.0,0.0,-0.21689675685567683,0.0,-0.31616599358218844,0.0,0.0,0.0417035612719097,-0.053816980845380696,0.16803496575116164,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.010241812508888547,-0.0,0.26862132419331713,0.0,-0.25389025738430443,-0.0,-0.0,0.05652923129892427,0.1728822152130158,0.025717523939694655,0.0,-0.0,0.0,0.10324821966654874,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,Alaska
1,AL,0.0,-0.0,-0.0,0.07423896599593804,0.06103241927280202,-0.0,-0.0,-0.0,0.01629840712304848,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.3501183312539246,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.018341264582898097,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.21691044708533072,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.021352486128325677,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.06342180491670364,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.10148905603420345,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.005196619914121898,-0.0,-0.08224297483925491,0.0,-0.149658822679924,-0.0,0.0035615654965766874,-0.0,-0.0,0.0,0.5159931584813268,0.013640011096875675,0.0,0.00555715751087814,0.19651486257884915,-0.1637336561207631,0.0,0.0,0.03431088425719724,0.22333723138612885,0.10960973036940888,-0.0,-0.0,-0.0,0.06882174173456161,-0.0,-0.09974768700167455,0.1382398897124369,-0.0,-0.0,0.0,0.04234287179626182,-0.0,-0.0,-0.0,0.006634568458988157,0.014854942538284333,-0.0,-0.0,-0.027285231579159568,-0.0,0.0,0.0,0.0,0.0,0.030201558139834356,0.033190650707057484,0.1043235821383728,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,Alabama
2,AR,0.09361688054726475,0.011074482547343698,-0.0,0.0,0.11942970859574598,-0.0,-0.0,-0.0,0.11515319375082528,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.037831750442819535,0.0,-0.0,-0.0,-0.0,-0.09706192758415687,-0.10083151127759549,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.036935716956924956,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09707603560847285,-0.0,-0.0,-0.0,-0.0,-0.0,0.16443027458387857,-0.0,0.05899422616826991,-0.05768926248160632,-0.026770676572510237,0.07911318450999884,-0.0,-0.0415785678559805,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04687627152020435,-0.0,-0.7114563677046299,-0.0,-0.0,-0.11453328504902595,0.0321724255479812,0.0,0.10409197635049239,-0.0,-0.0,-0.0,-0.0,-0.0,1.0569448228933065,-0.0,-0.0,-0.059086583855985926,0.0,-0.19248406363953435,0.2108707280002605,0.17741744641285168,0.08201072364126334,0.29586157003089275,0.14071927610109802,-0.0,0.030302623458399635,-0.0,0.0,0.022805319468499233,-0.0,0.0,0.0,-0.02613526913527267,-0.22225096105156664,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.025626303756218768,-0.0,-0.03645274461575957,-0.0,-0.017649619024730178,-0.07390218391229852,-0.023766549925490443,0.017012245836005933,0.0,0.15793833490402007,0.0,0.034730806221697365,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.04088857662611295,0.0,0.0,Arkansas
3,AZ,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0869708812580021,-0.0,0.13246128669669763,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0035113235271168456,-0.0,-0.0,0.03877120321887882,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.010331770535187424,0.0,-0.0,0.0,0.0,-0.11273395397490736,1.3158198810372231e-17,-0.0,-0.0,0.0,0.0,-0.040769836950019754,0.0,0.17185068203775744,0.0,0.0,0.0,-0.08654897879457565,0.0,0.0,0.3578834129540712,-0.0,0.0,-0.0,-0.0,-0.0728095873472408,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.08326199179772867,0.0,0.0,0.35642426613177614,0.00746976506978345,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.43828439583150525,0.0,0.0,Arizona
4,CA,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.16151413836141162,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.005296309110915808,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0796675299533207,-0.0,-0.3041271447650179,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0003076120657534701,0.0,-0.0,-0.2448305304308999,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.023243394149369347,0.06022758563495613,0.023445986094438178,-0.0,-0.0,-0.0,-0.5362090992713685,0.0,0.2763145446534964,-0.0,0.07776171211430885,0.0,-0.0,-0.07480024115426658,-0.0,-0.0,-0.0,0.0,0.0,-0.02011522046760459,-0.0,-0.0,-0.0,0.010708498246698894,0.0,-0.0,-0.11281532508621948,-0.0,0.0,0.03602874370596454,0.0,-0.0,0.01580980866355142,0.0,-0.0,0.0,0.09752418241065786,-0.0,-0.0,0.0,-0.0,-0.0,0.09817337280320229,0.0,0.0,0.0,California
5,CO,-0.0,-0.0,-0.02757205141335539,-0.0,0.006548055284213268,-0.0,-0.0,-0.0,0.20073387876207968,-0.0,-0.0,-0.0,-0.03564604645876163,-0.0,-0.0,-0.0,-0.11051563795677577,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06302221731102989,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04911394096151066,0.0948910892126758,0.06839313480607363,-0.0,-0.0,-0.0,-0.0,-0.0408280752253552,0.0,-0.0,-0.0,-0.0,-0.0,-0.04892675710849383,-0.0,-0.0,-0.08758654531232327,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.30645148615689816,-0.19386972593583074,-0.12300808454911716,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.18623623667363498,-0.0,-0.0,-0.0,-0.0,-0.04345950757630765,-0.10761698296004271,0.0,-0.06088265890407177,-0.0,0.13726027041878303,-0.010692623481282672,-0.0,0.0,0.1084074941036344,0.07875529383886766,0.0353699721485771,-0.0,-0.0,0.0,0.1684475937131772,0.06560535488028271,0.17908277390320004,0.0,0.0,0.0,0.0,0.008317039593492462,-0.20272703311715784,0.0,-0.0,-0.0,0.0,0.08743436778592219,0.1429325318151285,0.0,0.0,0.0,0.11997579142609838,0.0070527529488907115,0.0,-0.1654951659087213,0.0,0.0,-0.01698314538325085,0.04487150596630171,-0.0,0.08961101210445545,-0.0,0.12661665013698192,0.0,0.11418419845085039,0.0455134227409816,0.0,-0.0,0.0,-0.0,0.0,0.0,0.09180039484285067,0.012840609094263477,0.0,Colorado
6,CT,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.27034121182403975,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.14264292368592535,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.20637906054986274,0.03328507414358571,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.1624987845608764,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0010633980406033782,0.0,0.0,-0.0,-0.0,0.0,0.029713945104041756,-0.0,0.08223834004102429,0.05669181564492646,-0.0,0.1240654901191181,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.014813211312568242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.11079701649008813,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36408822704418575,-0.0,0.0,Connecticut
7,DC,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.4138934367720789,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,Washington D.C.
8,DE,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.37526507288954253,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.12357786541486686,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.3714489197352873,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.550807384929647,0.0,-0.0,-0.0,0.0,0.08311557536298553,-0.0,-0.04896349150783807,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.1612604285924486,-0.0,-0.0,-0.0,-0.00212541678133207,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,Delaware
9,FL,-0.28027056347154944,0.0,-0.03849705696355181,-0.019458588555278142,-0.0,-0.0,-0.0,-0.0,0.2709632348759232,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.02139461168699092,-0.0,-0.0,-0.0,0.0,-0.0,0.031319787664525985,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0264539659395182,-0.0,-0.0,-0.221369776281868,-0.0,-0.0,0.0,-0.04547762690725962,-0.0,-0.10203756457806856,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.013771636274283147,-0.0,-0.12078513643497502,0.0,0.014616615947208155,-0.16776147800225785,0.0,-0.0,-0.0,0.0,0.4871748590036204,0.056193898591066486,0.0,-0.17579175781626125,0.27120531576038576,-0.0,-0.15937118224325744,-0.0,-0.13063093153442562,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.05326675494744276,-0.0,-0.0,-0.0,-0.2119746338020982,0.24718771172192494,0.32826374258512975,-0.023523743968733062,-0.2527605696554304,-0.0,0.06973168189593286,0.004176332964890205,0.0,-0.0,-0.0,-0.0,-0.0,0.024804450538046405,0.04183488408224175,0.00985056952757241,-0.002153108150155466,-0.0,0.0,0.09007465046657176,-0.0,-0.0,0.0,0.0,-0.02911094982677118,0.0,-0.0,0.0,0.0,Florida
