"","State.Abbv","X","COEFF USDA Rural-Urban Continuum Code ","COEFF Healthcare Professional Shortage Area (Primary Care) ","COEFF # of nurse practitioners with National Provider Identifiers (NPI) ","COEFF # of home health agencies ","COEFF # of hospices ","COEFF % Black ","COEFF % Hispanic ","COEFF Veteran population estimate ","COEFF Unemployment rate for ages 16+ ","COEFF # of medical doctors under age 35 ","COEFF # of medical doctors aged 35-44 ","COEFF # of medical doctors aged 45-54 ","COEFF # of medical doctors aged 55-64 ","COEFF # of medical doctors aged 65-74 ","COEFF # of medical doctors aged 75+ ","COEFF # of medical specialists under age 35 ","COEFF # of medical specialists aged 35-44 ","COEFF # of medical specialists aged 45-54 ","COEFF # of medical specialists aged 55-64 ","COEFF # of medical specialists aged 65-74 ","COEFF # of medical specialists aged 75+ ","COEFF # of dentists aged 35-44 ","COEFF # of dentists aged 45-54 ","COEFF # of dentists aged 55-64 ","COEFF # of dentists aged 65+ ","COEFF # of short-term non-general hospital beds ","COEFF # of long-term hospital beds ","COEFF # of licensed hospital-based nursing home beds ","COEFF # of inpatient days including homes and hospitals  ","COEFF # of outpatient visits in short-term non-general hospitals ","COEFF # of outpatient visits in long-term hospitals ","COEFF # of outpatient visits in Veterans Affairs hospitals ","COEFF Actual per capita Medicare cost ","COEFF Total Caucasian female population estimate ","COEFF Total Black male population estimate ","COEFF Total Black female population estimate ","COEFF Total Asian male population estimate ","COEFF Total Asian Female population estimate ","COEFF Total Hispanic male population estimate ","COEFF Total Hispanic female population estimate ","COEFF # of Medicare enrollees ","COEFF # of deaths any cause  ","COEFF Per capita personal income ","COEFF Median household income ","COEFF % in poverty ","COEFF % under age 65 without health insurance ","COEFF % aged 25+ with 4+ years of college ","COEFF % employed in manufacturing ","COEFF # dually eligible for Medicare & Medicaid ","COEFF # of males aged 20-24 ","COEFF # of females aged 20-24 ","COEFF # of males aged 25-29 ","COEFF # of females aged 30-34 ","COEFF # of males aged 35-44 ","COEFF # of males aged 55-59 ","COEFF # of males aged 75-84 ","COEFF # of males aged 85+ ","COEFF # of females aged 85+ ","COEFF Median age ","COEFF Total Black population ","COEFF Total Hispanic population ","COEFF Total area ","COEFF Total land area ","COEFF Healthcare professional shortage area - whole county ","COEFF Healthcare professional shortage area - partial county ","COEFF Rural indicator ","COEFF Metropolitan indicator ","COEFF Nonmetropolitan indicator ","COEFF # of outpatient visits total  ","COEFF # of opioid-related deaths - imputed  ","COEFF Total number of opioid shipments ","COEFF Total number of opioid pills distributed ","COEFF Outpatient visits per capita ","COEFF Inpatient days per capita ","COEFF % male ","COEFF % Caucasian ","COEFF % Black ","COEFF % Asian ","COEFF % other race ","COEFF % Hispanic ","COEFF % eligible for Medicare ","COEFF Crude annual death rate all cause  ","COEFF Population density in hundreds  ","COEFF % dual-eligible for Medicare & Medicaid ","COEFF % aged 25 to 34 ","COEFF % aged 35 to 44 ","COEFF % aged 45 to 54 ","COEFF % aged 55 to 64 ","COEFF % aged 65 to 74 ","COEFF % aged 75 to 84 ","COEFF % aged 85+ ","COEFF % of population who are veterans ","COEFF Nurse practitioners per 100000 residents  ","COEFF Medical doctors aged <35 per 100000 residents  ","COEFF Medical doctors aged 35 to 44 per 100000 residents  ","COEFF Medical doctors aged 45 to 54 per 100000 residents  ","COEFF Medical doctors aged 55 to 64 per 100000 residents  ","COEFF Medical doctors aged 65 to 74 per 100000 residents  ","COEFF Medical doctors aged 75+ per 100000 residents  ","COEFF Medical specialists aged <35 per 100000 residents  ","COEFF Medical specialists aged 35 to 44 per 100000 residents  ","COEFF Medical specialists aged 45 to 54 per 100000 residents  ","COEFF Medical specialists aged 55 to 64 per 100000 residents  ","COEFF Medical specialists aged 65 to 74 per 100000 residents  ","COEFF Medical specialists aged 75+ per 100000 residents  ","COEFF Dentists aged <35 per 100000 residents  ","COEFF Dentists aged 35 to 44 per 100000 residents  ","COEFF Dentists aged 45 to 54 per 100000 residents  ","COEFF Dentists aged 55 to 64 per 100000 residents  ","COEFF Dentists aged 65+ per 100000 residents  ","COEFF % aged 25 to 44 ","COEFF % aged 45 to 64 ","COEFF % aged 65+ ","COEFF Early state Medicaid expansion status ","COEFF Crude opiod-related death rate - imputed  ","COEFF Crude cancer-related death rate - imputed  ","COEFF Nurse practitioner prescribing authority ","COEFF Presription drug monitoring programs (PDMP) ","State","RANK USDA Rural-Urban Continuum Code ","RANK Healthcare Professional Shortage Area (Primary Care) ","RANK # of nurse practitioners with National Provider Identifiers (NPI) ","RANK # of home health agencies ","RANK # of hospices ","RANK % Black ","RANK % Hispanic ","RANK Veteran population estimate ","RANK Unemployment rate for ages 16+ ","RANK # of medical doctors under age 35 ","RANK # of medical doctors aged 35-44 ","RANK # of medical doctors aged 45-54 ","RANK # of medical doctors aged 55-64 ","RANK # of medical doctors aged 65-74 ","RANK # of medical doctors aged 75+ ","RANK # of medical specialists under age 35 ","RANK # of medical specialists aged 35-44 ","RANK # of medical specialists aged 45-54 ","RANK # of medical specialists aged 55-64 ","RANK # of medical specialists aged 65-74 ","RANK # of medical specialists aged 75+ ","RANK # of dentists aged 35-44 ","RANK # of dentists aged 45-54 ","RANK # of dentists aged 55-64 ","RANK # of dentists aged 65+ ","RANK # of short-term non-general hospital beds ","RANK # of long-term hospital beds ","RANK # of licensed hospital-based nursing home beds ","RANK # of inpatient days including homes and hospitals  ","RANK # of outpatient visits in short-term non-general hospitals ","RANK # of outpatient visits in long-term hospitals ","RANK # of outpatient visits in Veterans Affairs hospitals ","RANK Actual per capita Medicare cost ","RANK Total Caucasian female population estimate ","RANK Total Black male population estimate ","RANK Total Black female population estimate ","RANK Total Asian male population estimate ","RANK Total Asian Female population estimate ","RANK Total Hispanic male population estimate ","RANK Total Hispanic female population estimate ","RANK # of Medicare enrollees ","RANK # of deaths any cause  ","RANK Per capita personal income ","RANK Median household income ","RANK % in poverty ","RANK % under age 65 without health insurance ","RANK % aged 25+ with 4+ years of college ","RANK % employed in manufacturing ","RANK # dually eligible for Medicare & Medicaid ","RANK # of males aged 20-24 ","RANK # of females aged 20-24 ","RANK # of males aged 25-29 ","RANK # of females aged 30-34 ","RANK # of males aged 35-44 ","RANK # of males aged 55-59 ","RANK # of males aged 75-84 ","RANK # of males aged 85+ ","RANK # of females aged 85+ ","RANK Median age ","RANK Total Black population ","RANK Total Hispanic population ","RANK Total area ","RANK Total land area ","RANK Healthcare professional shortage area - whole county ","RANK Healthcare professional shortage area - partial county ","RANK Rural indicator ","RANK Metropolitan indicator ","RANK Nonmetropolitan indicator ","RANK # of outpatient visits total  ","RANK # of opioid-related deaths - imputed  ","RANK Total number of opioid shipments ","RANK Total number of opioid pills distributed ","RANK Outpatient visits per capita ","RANK Inpatient days per capita ","RANK % male ","RANK % Caucasian ","RANK % Black .1","RANK % Asian ","RANK % other race ","RANK % Hispanic .1","RANK % eligible for Medicare ","RANK Crude annual death rate all cause  ","RANK Population density in hundreds  ","RANK % dual-eligible for Medicare & Medicaid ","RANK % aged 25 to 34 ","RANK % aged 35 to 44 ","RANK % aged 45 to 54 ","RANK % aged 55 to 64 ","RANK % aged 65 to 74 ","RANK % aged 75 to 84 ","RANK % aged 85+ ","RANK % of population who are veterans ","RANK Nurse practitioners per 100000 residents  ","RANK Medical doctors aged <35 per 100000 residents  ","RANK Medical doctors aged 35 to 44 per 100000 residents  ","RANK Medical doctors aged 45 to 54 per 100000 residents  ","RANK Medical doctors aged 55 to 64 per 100000 residents  ","RANK Medical doctors aged 65 to 74 per 100000 residents  ","RANK Medical doctors aged 75+ per 100000 residents  ","RANK Medical specialists aged <35 per 100000 residents  ","RANK Medical specialists aged 35 to 44 per 100000 residents  ","RANK Medical specialists aged 45 to 54 per 100000 residents  ","RANK Medical specialists aged 55 to 64 per 100000 residents  ","RANK Medical specialists aged 65 to 74 per 100000 residents  ","RANK Medical specialists aged 75+ per 100000 residents  ","RANK Dentists aged <35 per 100000 residents  ","RANK Dentists aged 35 to 44 per 100000 residents  ","RANK Dentists aged 45 to 54 per 100000 residents  ","RANK Dentists aged 55 to 64 per 100000 residents  ","RANK Dentists aged 65+ per 100000 residents  ","RANK % aged 25 to 44 ","RANK % aged 45 to 64 ","RANK % aged 65+ ","RANK Early state Medicaid expansion status ","RANK Crude opiod-related death rate - imputed  ","RANK Crude cancer-related death rate - imputed  ","RANK Nurse practitioner prescribing authority ","RANK Presription drug monitoring programs (PDMP) "
"1","AK",0,0,0,0,0,0.0225317394677357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164089473366835,0,0,0,0,0,0,0,-0.0436806822866018,0,0,0,0,0,0,0,0.0538051900449471,0,0,0,0.000348671495300934,0,0,0,0,0,0,0,0,0,0,0.186549005179527,0,0,0,0,0,0,-0.116911820056652,0.0735835905008775,0,0,0,0,0.251001629629979,-0.0535458355336676,0,0,0,-0.216881511121637,0,-0.316158048564614,0,0,0.0416969148890973,-0.0538193063116052,0.168054422727893,0,0,0,0,0,0,0,0,0,0,-0.0102228823323264,0,0.268605925322827,0,-0.253895456113045,0,0,0.0565293787102442,0.172891695922189,0.0257145299267858,0,0,0,0.103246102488103,0,0,0,0,0,0,0,0,0,0,"Alaska","NA","NA","NA","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10","NA","NA","NA","14","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","2","NA","NA","NA","NA",-0.216881511121637,"NA","NA",0,"NA","11","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","9","4","12","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2","AL",1,0,0,0,0.0383203531459525,0.0268358451144743,0,0,0,0,0,0,0,0,0,-0.139643972021541,0,-0.188529587796547,0,0,-0.0176181675490961,0,0,0,0,0,0,0,0,0,0,0,0,0.15862090102447,0,0,-0.060928432537918,0,0,0,0,0,0,0,0,0.0364413150397858,0.00357688686221217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00583986055549722,0,-0.108634709813695,0,-0.255960452031279,0,0,0,-0.124514714003463,0,0.597973483443705,0.0446395496600515,0,0,0.0644577691596081,0,0,0,0.0616237762413937,0.0442295060107374,0.141570622619182,0,0,-0.0207165452612863,0,0,0,0.0735697495659005,0,0,0,0,-0.0401017465771188,0,0,0.0599339229433669,0,0,-0.0504666202881447,0,0,0,0,0,0.00693178053682716,0.0932492103220598,0.111393264143954,0.061199057805056,0,0,0,0,0,0.51229969737142,0,0,0,"Alabama","NA","NA","NA","14","16","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15","18","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","12","NA","NA","8",0,"NA","NA",0.0616237762413937,"13","4","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","11","NA","NA","NA","NA","NA","NA","NA","NA","17","6","5","10","NA","NA","NA","NA","NA","2","NA","NA","NA"
"3","AR",2,0,0,0,0,0.0832791054622532,0,0,0,0.0843342676454373,0,0,0,0,0,0,0,0,0,0,0,0,-0.0304951948189219,-0.052420848853137,-0.015057976153827,-0.18930450062189,0,0,0,0,0,0,0,0.0295858116066974,0,0,0,-0.417813347739648,0,0,0,0,0,0.0560850060221008,0,0.0368506406890078,0,0,0.0710640451534264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0611134725761253,0,0,0,-0.00745862092925349,0.0304713204500187,0,-0.122153227932473,0,0.777421794344482,0,0,-0.116018515707758,0,0,0.185781945740343,0.106184258381899,0.116023820268496,0,0.101458317590865,0,0.0400032843421076,0,0,-0.0231307921285325,0,0.119847310710593,0,0,-0.120854128422775,-0.0277488777498958,0,0,0,0.0297009572741751,0,0.0242211677425157,0,-0.00324634005096323,0,0,-0.0413257004603922,0,0.0248748388447916,0,0.219127990736696,0,-0.0102602650259932,0,-0.0557344572971694,0,0,0.53661399522906,-0.0350245723647572,0,0,"Arkansas","NA","NA","NA","NA","10","NA","6","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","17","NA","NA","NA","NA","NA","NA","NA","NA","NA","12","NA","14","NA","NA","11","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15","NA","NA","NA","1","NA","NA","NA","NA",0,"4","7",0.116023820268496,"NA","8","NA","13","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","16","NA","19","NA","NA","NA","NA","NA","NA","18","NA","3","NA","NA","NA","NA","NA","NA","2","NA","NA","NA"
"4","AZ",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0611460572891883,0,0.153842460855517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398677383275894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0938944701004591,1.31581988103722e-17,0,0,0,0,-0.0390917134610221,0,0.130907825140341,0,0,0,-0.131022912346246,0,0.0273072997918678,0.42552582418954,0,0,0,0,-0.0891418696325753,0,0,0,0,0,0,0,0,0,0,0,0,-0.0256689119665458,0,0,0,-0.0203511874549232,0,0.0624436379666697,0.000497514293267121,0.0243562311979277,0.31870450913334,0,0,0,0,0,0.157152229320859,0.224494758454121,0,0,"Arizona","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","12","NA","NA","NA","NA","NA","NA","6","NA",0,"NA","NA",0,"9","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","11","10","2","NA","NA","NA","NA","NA","4","3","NA","NA"
"5","CA",4,0,0,0,0,0,0,-0.503137006995563,0,0.146855830307445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00774540366181335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0612347107459926,0,-0.304037587262476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00237275103848356,0,0,-0.275464456201987,0,0,0,-0.00146359279827169,0,0,0,-0.0169200353062506,0.0354145788649723,0.0178499490626647,0,0,0,0,0,0.259700543324693,0,0.0526633847266853,0,0,-0.0935100889016829,0,0,0,0,0,-0.0187843860392924,0,0,0,0,0,0,-0.116799710967892,0,0,0.0559729917801053,0,0,0.0242245932482288,0,0,0,0.0905703379274004,0,-0.00847685699528251,0,0.0637400227534197,0.133925453241909,0,0,0,"California","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","11",0,"NA","NA",0,"NA","1","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","10","NA","NA","NA","4","NA","NA","NA","5","3","NA","NA","NA"
"6","CO",5,0,0,-0.114271353292715,0,0,0,0.177018579823783,0,0.196653261980422,0,-0.115006756753399,-0.112128820975294,0,0,-0.00942558427942804,0,0,0,0,0,0,0,0,0,0,-0.0188093458371575,0.0750958864026511,0.060526763129014,0,0,0,0,0,0,0,-0.0151254439799451,0,-0.0402343466193054,0,0,0,0,0,0,0,-0.247261212742538,-0.15544322405089,-0.105602496703829,0,0,0,0,0,0,0,0,0,0,-0.240659136374366,0,0,0,-0.0327497694555049,-0.0862832134253172,0,-0.170046166933612,0,0.0751386747534002,-0.0554216542767753,0,0,0.0879869896687563,0.0769446422185567,0.0539867406230194,0,0,0,0.152273850550976,0.0677378727763129,0,0,0,0,0.0100506507548382,0,-0.221898859405372,0,-0.0114479127058088,0,0,0.120982514604666,0.145157354228323,0,0,0,0.161086410703064,0,0,-0.19157449148767,0,0,-0.00502464029107927,0.0942801825776035,0,0.0868304906168431,0,0.122787323218267,0,0.0694179103024448,0.0140901613330955,0,0,0,0,0.160127636759385,0.103865156713312,0,0,"Colorado","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","15","18","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","14","NA","NA","NA","11","13","19","NA","NA",0,"5","17",0,"NA","NA","NA","21","NA","NA","NA","NA","NA","NA","8","6","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","10","NA","12","NA","7","NA","16","20","NA","NA","NA","NA","4","9","NA","NA"
"7","CT",6,0,0,0,0,0,0,0,0,0.270341215468773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142642805186309,0,0,0,0,0,0.206379183013873,0.0332849303823471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162498272044178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00106339578507698,0,0,0,0,0,0.0297138987413115,0,0.0822384652790109,0.0566915543586265,0,0.124065591111566,0,0,0,0,0,0,0,0.0148135736374903,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.110797164102543,0,0,0,0,0,0,0,0,0,0.36408843081504,0,0,"Connecticut","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","11","NA","NA","NA",0,"NA","9",0,"6","7","NA","5","NA","NA","NA","NA","NA","NA","NA","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA"
"8","DC",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413893436772079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Washington D.C.","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA",0,"NA","NA",0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"9","DE",8,0,0,0,0,0,0,0,0,0.37524880520593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12302038222955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371075506703116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.550642864164296,0,0,0,0,0.0829049572424914,0,-0.0493107303472435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.161200085487335,0,0,0,-0.00197371192024138,0,0,0,0,0,0,0,0,"Delaware","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA",0,"NA","NA",0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10","FL",9,-0.258590256763177,0,-0.0884134679926062,0,0,0,0,0,0.261475125342969,0,0,0,0,0,-0.105237290449891,0,0,0,0,0,0,0,0,0,0,0,0,-0.00333712528052787,0,0,0,0,0.0495048902641399,0,0,0,0,-0.0250997470026735,0,0,-0.089068240038488,0,0,0,-0.0547814491084177,0,-0.0463142485293374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107274872920609,0,-0.11822498376488,0,0,-0.169890156666645,0,0,0,0,0.442708801311178,0.0653220410545996,0,-0.181676797759112,0.212551095674977,0,-0.197335693557931,0,-0.0867045820761428,0,0,0,-0.00151698983783791,0,0,0.0223551498317283,0,0,0,-0.16143132491665,0.257394743903514,0.307454473528343,0,-0.199046175749424,0,0.0933076931407586,0,0,0,0,0,0,0,0.0168997269783797,0,-0.0219708976509082,0,0,0.066684757564119,0,0,-0.0479991704853393,0,0.166504078613134,0,0,0,"Florida","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","9","NA","NA","5",0,"NA","NA",-0.0867045820761428,"NA","NA","NA","NA","NA","NA","11","NA","NA","NA","NA","4","2","NA","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","12","NA","NA","NA","NA","8","NA","NA","NA","NA","6","NA","NA","NA"
